Line ID,Source Substation,Destination Substation,Voltage (kV),Length (km),Geodesic Length (km),Distance Category
1,Achimota Substation,Tema Substation,11,25.2,22.51,Short (<=50 km)
2,Achimota Substation,Mallam Substation,11,11.0,9.98,Short (<=50 km)
3,Achimota Substation,Kaneshie Substation,11,5.9,4.99,Short (<=50 km)
4,Tema Substation,Mallam Substation,330,34.4,32.23,Short (<=50 km)
5,Tema Substation,Legon Substation,161,19.5,17.56,Short (<=50 km)
6,Mallam Substation,Legon Substation,161,17.1,15.53,Short (<=50 km)
7,Mallam Substation,Kaneshie Substation,161,7.0,6.22,Short (<=50 km)
8,Mallam Substation,Aboadze Junction Substation,161,22.4,17.28,Short (<=50 km)
9,Legon Substation,Kaneshie Substation,161,13.4,10.39,Short (<=50 km)
10,Legon Substation,Aboadze Junction Substation,161,8.4,6.64,Short (<=50 km)
11,Kumasi Central Substation,Mampong Substation,69,53.3,47.58,Short (<=50 km)
12,Kumasi Central Substation,Konongo Substation,69,50.4,45.75,Short (<=50 km)
13,Ejisu Substation,Obuasi Substation,33,76.1,59.31,Medium (50-150 km)
14,Ejisu Substation,Konongo Substation,69,37.8,30.46,Short (<=50 km)
15,Obuasi Substation,Konongo Substation,33,71.0,65.75,Medium (50-150 km)
16,Mampong Substation,Konongo Substation,69,64.2,53.45,Medium (50-150 km)
17,Takoradi Substation,Aboadze Substation,33,12.3,9.63,Short (<=50 km)
18,Takoradi Substation,Tarkwa Substation,33,66.2,51.85,Medium (50-150 km)
19,Aboadze Substation,Tarkwa Substation,33,55.8,42.95,Short (<=50 km)
20,Aboadze Substation,Axim Substation,33,66.4,53.32,Medium (50-150 km)
21,Tarkwa Substation,Axim Substation,69,59.7,55.23,Medium (50-150 km)
22,Cape Coast Substation,Winneba Substation,69,84.4,74.23,Medium (50-150 km)
23,Cape Coast Substation,Kasoa Substation,11,118.3,102.9,Medium (50-150 km)
24,Cape Coast Substation,Assin Fosu Substation,11,82.4,71.3,Medium (50-150 km)
25,Winneba Substation,Kasoa Substation,11,32.3,29.47,Short (<=50 km)
26,Kasoa Substation,Assin Fosu Substation,11,140.9,121.66,Medium (50-150 km)
27,Koforidua Substation,Akosombo Substation,11,48.0,41.42,Short (<=50 km)
28,Koforidua Substation,Nkawkaw Substation,11,98.0,76.04,Medium (50-150 km)
29,Akosombo Substation,Nkawkaw Substation,69,117.8,96.88,Medium (50-150 km)
30,Akosombo Substation,Suhum Substation,69,82.7,64.3,Medium (50-150 km)
31,Nkawkaw Substation,Suhum Substation,69,75.9,67.16,Medium (50-150 km)
32,Ho Substation,Kpong Substation,11,79.5,65.05,Medium (50-150 km)
33,Ho Substation,Sogakope Substation,11,84.4,69.5,Medium (50-150 km)
34,Kpong Substation,Sogakope Substation,11,59.7,54.97,Medium (50-150 km)
35,Hohoe Substation,Sogakope Substation,11,152.5,127.0,Medium (50-150 km)
36,Sunyani Substation,Techiman Substation,33,63.1,51.64,Medium (50-150 km)
37,Techiman Substation,Berekum Substation,33,87.3,74.05,Medium (50-150 km)
38,Tamale Substation,Yendi Substation,11,112.6,92.66,Medium (50-150 km)
39,Bolgatanga Substation,Bawku Substation,161,86.6,74.55,Medium (50-150 km)
40,Achimota Substation,Kumasi Central Substation,330,225.4,195.77,Long (>150 km)
41,Kumasi Central Substation,Takoradi Substation,330,228.3,197.48,Long (>150 km)
42,Takoradi Substation,Cape Coast Substation,330,70.5,61.34,Medium (50-150 km)
43,Cape Coast Substation,Koforidua Substation,330,178.8,155.13,Long (>150 km)
44,Koforidua Substation,Ho Substation,330,113.7,98.73,Medium (50-150 km)
45,Ho Substation,Sunyani Substation,330,367.7,319.94,Long (>150 km)
46,Sunyani Substation,Tamale Substation,330,324.3,281.07,Long (>150 km)
47,Tamale Substation,Bolgatanga Substation,330,175.4,151.72,Long (>150 km)
48,Bolgatanga Substation,Wa Substation,330,227.0,197.39,Long (>150 km)
49,Bolgatanga Substation,Bolgatanga Interconnection,330,53.0,47.91,Short (<=50 km)
50,Bolgatanga Interconnection,Bobo-Dioulasso Hub,330,426.0,387.72,Long (>150 km)
51,Elubo Border Station,Kumasi Central Substation,330,235.2,213.18,Long (>150 km)
52,Elubo Border Station,Abidjan Transmission Hub,330,141.3,128.55,Medium (50-150 km)
53,Aflao Border Station,Tema Substation,330,157.9,143.61,Medium (50-150 km)
54,Aflao Border Station,Lome Transmission Hub,330,3.8,3.5,Short (<=50 km)
55,Lome Transmission Hub,Cotonou Transmission Hub,330,150.0,136.51,Medium (50-150 km)
