Region,substation_count,total_capacity_mva,mean_capacity_mva,mean_voltage_kv,max_voltage_kv,line_endpoints,approx_footprint_km2,substations_per_1000km2
Greater Accra,6,520.2,86.7,192.33,330,22,325.1,18.456
Ashanti,5,1099.6,219.92,132.4,330,15,4550.5,1.099
Western,4,323.0,80.75,51.0,69,12,2570.2,1.556
Central,4,316.2,79.05,105.25,330,12,7870.6,0.508
Eastern,4,828.5,207.12,54.5,69,12,5293.7,0.756
Volta,4,470.3,117.58,90.75,330,10,6583.2,0.608
Bono,3,252.6,84.2,132.0,330,6,2044.9,1.467
Northern,3,155.6,51.87,124.67,330,4,2245.9,1.336
Upper East,2,520.7,260.35,161.0,161,5,2116.6,0.945
Benin,1,487.6,487.6,161.0,161,1,0.0,
Cote d'Ivoire,1,262.6,262.6,161.0,161,1,0.0,
Cote d'Ivoire border,1,285.1,285.1,330.0,330,2,0.0,
Burkina Faso,1,445.9,445.9,161.0,161,1,0.0,
Burkina Faso border,1,156.1,156.1,330.0,330,2,0.0,
Togo border,1,423.2,423.2,330.0,330,2,0.0,
Togo,1,120.2,120.2,161.0,161,2,0.0,
Guinea,1,251.6,251.6,161.0,161,0,0.0,
Upper West,1,27.1,27.1,11.0,11,1,0.0,
